text,label,source,timestamp
You won’t believe what happened when Elon Musk tried to hack the system,1,synthetic_gpt,2025-06-21T14:40:26.695591
SHOCKING: bird migration blamed on secret AI mind control,1,synthetic_gpt,2025-06-21T14:40:26.695591
Scientists confirm link between 5G radiation and flat earth,1,synthetic_gpt,2025-06-21T14:40:26.695591
Tom Hanks caught using microwave ovens to communicate with aliens,1,synthetic_gpt,2025-06-21T14:40:26.695591
You won’t believe what happened when Taylor Swift tried to uncover the truth,1,synthetic_gpt,2025-06-21T14:40:26.695591
You won’t believe what happened when Taylor Swift tried to expose the elite,1,synthetic_gpt,2025-06-21T14:40:26.695591
You won’t believe what happened when Joe Biden tried to uncover the truth,1,synthetic_gpt,2025-06-21T14:40:26.695591
Scientists confirm link between 5G radiation and flat earth,1,synthetic_gpt,2025-06-21T14:40:26.695591
Tom Hanks caught using WiFi routers to communicate with aliens,1,synthetic_gpt,2025-06-21T14:40:26.695591
BREAKING: Joe Biden spotted meeting with the Illuminati in Mars base,1,synthetic_gpt,2025-06-21T14:40:26.695591
You won’t believe what happened when Mark Zuckerberg tried to uncover the truth,1,synthetic_gpt,2025-06-21T14:40:26.695591
You won’t believe what happened when Taylor Swift tried to uncover the truth,1,synthetic_gpt,2025-06-21T14:40:26.695591
You won’t believe what happened when Taylor Swift tried to expose the elite,1,synthetic_gpt,2025-06-21T14:40:26.695591
BREAKING: Elon Musk spotted meeting with Area 51 agents in Mars base,1,synthetic_gpt,2025-06-21T14:40:26.695591
BREAKING: Joe Biden spotted meeting with Area 51 agents in Nevada desert,1,synthetic_gpt,2025-06-21T14:40:26.695591
BREAKING: Taylor Swift spotted meeting with the Illuminati in Nevada desert,1,synthetic_gpt,2025-06-21T14:40:26.695591
Kanye West caught using WiFi routers to communicate with aliens,1,synthetic_gpt,2025-06-21T14:40:26.695591
You won’t believe what happened when Taylor Swift tried to hack the system,1,synthetic_gpt,2025-06-21T14:40:26.695591
SHOCKING: stock market crash blamed on secret AI mind control,1,synthetic_gpt,2025-06-21T14:40:26.695591
Scientists confirm link between 5G radiation and cryptocurrency,1,synthetic_gpt,2025-06-21T14:40:26.695591
